Date,Opponent,Goals,Penalties,Penalties drawn,Faceoffs,Faceoffs won,"Faceoffs won, %",Hits,Faceoffs in DZ,Faceoffs won in DZ,"Faceoffs won in DZ, %",Faceoffs in NZ,Faceoffs won in NZ,"Faceoffs won in NZ, %",Faceoffs in OZ,Faceoffs won in OZ,"Faceoffs won in OZ, %",Blocked shots,Faceoffs lost,Scoring chances,CORSI%,Hits against,Power play,Successful power play,"Power play, %",Short-handed,Penalty killing,"Short-handed, %",xG per shot,Opponent's xG per shot,Net xG (xG - Opponent's xG),xG conversion,xG (Expected goals),Opponent's xG,xG per goal,Opponent's xG per goal,Shots,Shots on goal,Shots blocking,Missed shots,% shots on goal,Slapshot,Wrist shot,Power play shots,Short-handed shots,Shootouts scored,Puck battles,Puck battles won,"Puck battles won, %",Puck battles in OZ,Puck battles in NZ,Puck battles in DZ,Dekes,Dekes successful,Dekes unsuccessful,"Dekes successful, %",Passes total,Accurate passes,"Accurate passes, %",Pre-shots passes,Dump ins,Dump outs,Passes to the slot,OZ play,OZ play with shots,"OZ play with shots, %",Counterattacks,Counter-attack with shots,"Counter-attack with shots, %",Takeaways,Takeaways in NZ,Takeaways in DZ,Puck losses,Puck losses in OZ,Puck losses in NZ,Puck losses in DZ,Retrievals,Power play retrievals,Penalty kill retrievals,EV OZ retrievals,EV DZ retrievals,Takeaways in OZ,Loose puck recovery,Opponent’s dump-in retrievals,Entries,Entries via pass,Entries via dump in,Entries via stickhandling,Breakouts,Breakouts via pass,Breakouts via dump out,Breakouts via stickhandling,Type,Penalty time_minutes,Penalty time_seconds,Power play time_minutes,Power play time_seconds,Short-handed time_minutes,Short-handed time_seconds,Offensive play_minutes,Offensive play_seconds,Defensive play_minutes,Defensive play_seconds,OZ possession_minutes,OZ possession_seconds,NZ possession_minutes,NZ possession_seconds,DZ possession_minutes,DZ possession_seconds,isOpponent,isAway,OpponentScore,Outcome
2025-01-17,Lebanon Valley Flying Dutchmen,0,2,3,39,10,0.26,0,22,5,0.23,8,2,0.25,9,3,0.33,6,29,5,0.24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,-3.9,0.0,0.77,4.7,0.0,0.0,20,12,13,2,0.6,12,7,0.0,0.0,0,171,82,0.48,0,0,0,1,0,1,0.0,156,117,0.75,1,22,6,2,4,3,0.75,9,7,0.78,91,0,0,79,43,25,25,22,22,22,5.0,17.0,0,18,8,28,11,3,14,41,27,0,14,Even Strength,4,0,0,0,0,0,17,16,24,37,3,24,4,5,9,47,False,True,3,Loss
2025-01-17,Hood,2,3,2,39,29,0.74,0,9,6,0.67,8,6,0.75,22,17,0.77,13,10,28,0.76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,3.9,0.0,4.7,0.77,0.0,0.0,62,44,6,5,0.71,40,9,0.0,0.0,0,171,89,0.52,0,0,0,16,11,5,0.6900000000000001,226,196,0.87,9,12,2,6,19,13,0.68,12,7,0.58,108,0,0,75,46,22,22,23,23,23,17.0,6.0,0,23,15,47,22,4,21,46,30,0,16,Even Strength,4,0,0,0,0,0,24,37,17,16,13,59,4,8,6,31,True,False,0,Win
2025-01-10,Alvernia Wolves,3,2,3,44,20,0.45,0,18,4,0.22,14,10,0.71,12,6,0.5,6,24,7,0.22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,-4.3,0.0,1.14,5.5,0.0,0.0,22,14,19,2,0.64,1,13,0.0,0.0,0,176,73,0.41000000000000003,0,0,0,8,5,3,0.63,148,117,0.79,0,27,17,2,1,1,1.0,8,5,0.63,94,0,0,69,27,28,28,24,24,24,5.0,19.0,0,28,12,25,8,4,13,39,20,0,19,Even Strength,4,0,0,0,0,0,17,48,22,59,4,16,4,22,9,10,False,False,7,Loss
2025-01-10,Hood,7,3,2,44,24,0.55,0,12,6,0.5,14,4,0.29,18,14,0.78,19,20,27,0.78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,4.3,0.0,5.5,1.14,0.0,0.0,77,35,6,23,0.45,19,44,0.0,0.0,0,176,103,0.59,0,0,0,16,14,2,0.88,165,132,0.8,12,31,8,3,16,14,0.88,8,7,0.88,100,0,0,54,32,14,14,27,27,27,21.0,6.0,0,51,18,47,12,10,25,35,20,0,15,Even Strength,4,0,0,0,0,0,22,59,17,48,13,34,4,37,4,48,True,True,3,Win
2025-01-09,Alvernia Wolves,0,1,0,38,18,0.47000000000000003,0,18,5,0.28,11,7,0.64,9,6,0.67,11,20,7,0.37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,-2.7,0.0,1.3,4.0,0.0,0.0,36,13,18,12,0.36,21,6,0.0,0.0,0,265,129,0.49,0,0,0,5,4,1,0.8,162,131,0.81,8,30,21,4,8,8,1.0,6,4,0.67,115,0,0,96,41,39,39,19,19,19,9.0,10.0,0,41,16,33,7,5,21,38,22,0,16,Even Strength,2,0,0,0,0,0,22,23,25,53,6,2,5,22,10,58,False,False,3,Loss
2025-01-09,Hood,3,0,1,38,20,0.53,0,9,3,0.33,11,4,0.36,18,13,0.72,18,18,19,0.63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,2.7,0.0,4.0,1.3,0.0,0.0,61,35,11,8,0.5700000000000001,40,7,0.0,0.0,0,265,136,0.51,0,0,0,12,6,6,0.5,210,177,0.84,8,24,14,2,19,18,0.9500000000000001,11,6,0.55,118,0,0,81,52,25,25,29,29,29,18.0,11.0,0,47,18,58,25,4,29,33,26,0,7,Even Strength,2,0,0,0,0,0,25,53,22,23,12,31,5,17,8,5,True,True,0,Win
2025-01-07,King's Monarchs,1,3,2,30,15,0.5,1,11,5,0.45,10,6,0.6,9,4,0.44,8,15,8,0.38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,-0.58,0.0,1.75,2.3,0.0,0.0,27,9,9,10,0.33,21,3,0.0,0.0,0,181,94,0.52,0,0,0,14,6,8,0.43,192,151,0.79,3,22,11,4,7,6,0.86,1,0,0.0,100,0,0,85,46,24,24,21,21,21,7.0,14.0,0,29,10,35,11,5,19,38,24,1,13,Even Strength,6,0,0,0,0,0,21,14,22,23,7,44,4,29,9,1,False,False,4,Loss
2025-01-07,Hood,1,2,3,30,15,0.5,0,9,5,0.56,10,4,0.4,11,6,0.55,9,15,15,0.63,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.58,0.0,2.3,1.75,0.0,0.0,45,28,8,8,0.62,36,1,0.0,0.0,0,181,87,0.48,0,0,0,20,12,8,0.6,179,149,0.8300000000000001,3,20,10,2,13,9,0.6900000000000001,7,4,0.5700000000000001,108,0,0,76,47,16,16,16,16,16,10.0,6.0,0,34,11,47,13,1,33,37,23,2,12,Even Strength,6,0,0,0,0,0,22,23,21,14,10,1,4,43,7,38,True,True,1,Draw
2024-12-06,King's Monarchs,2,4,2,43,27,0.63,0,16,9,0.56,10,9,0.9,17,9,0.53,14,16,11,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,-0.1,0.0,2.3,2.4,0.0,0.0,52,23,6,15,0.44,13,31,0.0,0.0,0,176,86,0.49,0,0,0,19,15,4,0.79,151,120,0.79,14,17,5,7,13,12,0.92,6,2,0.33,98,0,0,68,35,18,18,22,22,22,13.0,9.0,0,26,12,34,8,3,23,38,18,0,20,Even Strength,10,0,0,0,0,0,21,9,18,47,9,48,4,34,6,47,False,False,0,Win
2024-12-06,Hood,0,2,4,43,16,0.37,0,17,8,0.47000000000000003,10,1,0.1,16,7,0.44,6,27,14,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.1,0.0,2.4,2.3,0.0,0.0,35,19,14,10,0.54,9,21,0.0,0.0,0,176,90,0.51,0,0,0,12,7,5,0.58,146,109,0.75,5,19,11,2,9,8,0.89,10,5,0.5,92,0,0,69,37,22,22,34,34,34,15.0,19.0,0,22,7,36,12,4,20,36,30,0,6,Even Strength,10,0,0,0,0,0,18,47,21,9,7,44,3,21,7,42,True,True,3,Loss
2024-12-01,Massachusetts College of Liberal Arts,1,3,2,41,13,0.32,1,18,8,0.44,6,0,0.0,17,5,0.29,11,28,9,0.44,2,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.64,0.0,1.63,2.3,0.0,0.0,41,23,13,7,0.56,4,29,0.0,0.0,0,235,111,0.47000000000000003,0,0,0,11,9,2,0.8200000000000001,204,155,0.76,6,11,10,1,9,8,0.89,10,5,0.5,88,0,0,68,41,15,15,20,20,20,8.0,12.0,0,22,9,46,7,2,37,34,18,0,16,Even Strength,6,0,0,0,0,0,24,56,21,12,11,10,3,22,10,24,False,True,2,Loss
2024-12-01,Hood,1,2,3,41,28,0.68,2,17,12,0.71,6,6,1.0,18,10,0.56,13,13,10,0.56,1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.64,0.0,2.3,1.63,0.0,0.0,52,28,11,11,0.54,18,28,0.0,0.0,0,235,124,0.53,0,0,0,10,8,2,0.8,174,131,0.75,5,15,8,2,9,8,0.89,8,5,0.63,98,0,0,70,38,22,22,25,25,25,12.0,13.0,0,22,5,40,8,3,29,32,16,0,16,Even Strength,6,0,0,0,0,0,21,12,24,56,10,33,3,18,7,21,True,False,1,Draw
